data,ipca_mensal,ipca_acumulado_12m,taxa_desemprego,indice_confianca_fgv,variacao_producao_industrial
2018-01-01,0.42,5.60,12.2,105.5,-1.8
2018-02-01,0.51,5.80,12.0,104.8,0.3
2018-03-01,0.67,6.10,12.1,103.2,1.2
2018-04-01,0.75,6.20,12.3,101.8,-0.9
2018-05-01,0.53,6.15,12.2,100.5,2.1
2018-06-01,0.15,6.05,12.4,99.2,0.8
2018-07-01,0.33,5.95,12.6,98.5,-1.5
2018-08-01,0.24,5.85,12.5,97.8,1.3
2018-09-01,0.28,5.75,12.3,96.2,0.5
2018-10-01,0.37,5.70,12.1,95.8,-0.7
2018-11-01,0.34,5.65,12.0,94.5,1.8
2018-12-01,0.28,5.55,11.8,93.2,2.3
2019-01-01,0.32,5.48,11.6,92.8,1.1
2019-02-01,0.48,5.50,11.5,92.1,0.9
2019-03-01,0.44,5.52,11.4,91.5,-0.3
2019-04-01,0.57,5.62,11.2,90.8,2.1
2019-05-01,0.42,5.70,11.1,91.2,1.5
2019-06-01,0.38,5.75,11.0,91.8,0.7
2019-07-01,0.19,5.73,10.9,92.5,-1.2
2019-08-01,0.15,5.68,10.8,93.1,1.9
2019-09-01,0.26,5.63,10.7,93.8,0.4
2019-10-01,0.08,5.55,10.5,94.5,-0.8
2019-11-01,0.29,5.48,10.3,95.2,2.2
2019-12-01,0.27,5.42,10.1,96.1,1.8
2020-01-01,0.21,5.35,9.9,97.2,0.6
2020-02-01,0.38,5.40,10.1,96.8,-1.1
2020-03-01,0.84,5.88,10.5,88.5,-8.7
2020-04-01,0.31,6.18,11.2,85.2,-5.9
2020-05-01,0.26,6.15,12.1,84.8,-2.3
2020-06-01,0.36,6.28,12.8,85.5,1.4
2020-07-01,0.36,6.45,13.2,88.1,3.2
2020-08-01,0.64,6.92,13.8,91.5,2.8
2020-09-01,0.64,7.32,14.1,94.2,1.9
2020-10-01,0.86,7.89,14.3,96.8,-0.5
2020-11-01,0.89,8.42,14.2,98.5,1.2
2020-12-01,1.35,9.16,13.8,99.2,2.1
2021-01-01,0.75,9.51,13.5,100.1,1.5
2021-02-01,0.87,9.87,13.1,101.2,0.8
2021-03-01,0.93,10.52,12.9,102.5,-0.3
2021-04-01,1.06,10.92,12.5,103.8,1.9
2021-05-01,0.83,10.95,12.2,104.5,1.2
2021-06-01,0.47,10.85,12.1,105.1,-0.7
2021-07-01,0.96,11.16,11.9,104.2,2.3
2021-08-01,0.87,11.41,11.7,103.5,1.8
2021-09-01,1.16,12.13,11.4,102.1,-1.1
2021-10-01,1.25,12.75,11.2,101.8,0.5
2021-11-01,0.99,13.05,11.0,100.2,2.1
2021-12-01,0.84,13.38,10.8,99.5,1.3
2022-01-01,1.01,13.87,10.5,98.8,0.9
2022-02-01,1.15,14.39,10.2,97.1,-0.8
2022-03-01,1.62,14.76,10.1,96.5,2.2
2022-04-01,1.06,14.20,9.8,95.8,1.5
2022-05-01,0.47,13.82,9.5,94.2,0.4
2022-06-01,0.67,13.35,9.3,93.8,-1.3
2022-07-01,0.33,12.75,9.1,92.5,2.8
2022-08-01,0.87,12.52,8.9,91.2,1.1
2022-09-01,0.72,12.34,8.5,90.8,-0.5
2022-10-01,0.56,11.89,8.2,90.1,1.8
2022-11-01,0.41,11.35,8.0,91.5,0.7
2022-12-01,0.73,11.06,7.8,92.8,2.1
2023-01-01,0.54,10.75,7.5,93.5,1.4
2023-02-01,0.60,10.38,7.2,94.1,0.8
2023-03-01,0.62,10.15,6.9,94.8,-0.6
2023-04-01,0.61,10.11,6.7,95.2,1.9
2023-05-01,0.47,9.86,6.5,95.8,1.2
2023-06-01,0.08,9.52,6.3,96.5,-1.2
2023-07-01,0.34,9.18,6.1,97.1,2.3
2023-08-01,0.68,9.05,6.2,97.8,1.5
2023-09-01,0.26,8.94,6.5,98.2,0.9
2023-10-01,0.84,8.92,6.8,98.5,-0.4
2023-11-01,0.41,8.75,7.0,99.1,1.7
2023-12-01,0.56,8.58,7.2,99.8,2.0
2024-01-01,0.52,8.34,7.5,100.2,1.3
2024-02-01,0.68,8.18,7.8,100.8,0.6
2024-03-01,0.49,8.01,8.1,101.5,-0.8
2024-04-01,0.38,7.82,8.2,102.1,2.1
2024-05-01,0.23,7.65,8.1,102.8,1.4
2024-06-01,0.21,7.42,7.9,103.5,-1.1
2024-07-01,0.29,7.25,7.7,104.1,2.5
2024-08-01,0.68,7.18,7.5,104.8,1.8
2024-09-01,0.42,7.12,7.3,105.2,0.7
2024-10-01,0.39,7.05,7.1,105.8,-0.5
2024-11-01,0.28,4.50,10.2,106.2,1.5
